model,id,n_tokens,doc_ppl
base,a3eb9df54bcced116cfe71371fbb72b2,1023,4.95
base,fdba11d5b8025bcf5d2a78437f2975ef,1023,4.2206
base,85de41dfea77158c64b23926a7028227,1023,7.5695
base,3322f10046e94465d9cb8163ce5e3be2,1023,11.4588
base,a0bf29d46a623bb6f910f2d57341a4e6,1023,9.7488
base,03072957be981d257d76410384f88c69,893,4.4212
base,c220bc0d9af3554ef6c518a8edb4f010,1023,3.88
base,63429a1ae94b193ab53970b9ce6d67c3,1023,4.2096
base,4b9b9bfcf22bcd9b51dedc7cb147d0f6,1023,8.2303
base,72b97b7a7a22b86b2e8f7b7c53bb4476,1023,2.4771
base,231e7042ef57c7d6e7a4c596860dfcdb,1023,3.718
base,2a13f34dee3dce823154d1d182971ab5,1023,4.5984
base,a85a9371ce5226ab613cc9f5505f6647,482,4.521
base,53fcfff1186e47edf7cb8e70812f802e,1023,7.1761
base,d9a20daea7941e59579f855be7bc8a25,1023,7.3898
base,9778397c4002176c6909edb63b1d0d68,1023,9.4521
base,7914e21a059db663161ef7cdb19fbc55,1023,4.997
base,db0eaebc598763a1fc15bd7da2caf4be,634,5.4776
